y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00
45.00,,,,,,,,,,,,,,,,,,
40.00,,,,,,,,,,,,,,,,,,
35.00,,,,,,0.3154,,0.3581,,0.3693,,0.4744,,,,,,
30.00,,,,,0.5153,,0.5165,,0.8756,,0.5561,,0.5175,,,,,
25.00,,,,0.5196,,0.8022,,0.9179,,0.7797,,0.6452,,0.5533,,,,
20.00,,,0.5130,,0.5737,,0.5690,,0.6003,,0.5942,,0.7621,,0.5211,,,
15.00,,,,0.6681,,0.6130,,0.1322,,0.3459,,0.5318,,0.9450,,0.5566,,
10.00,,,0.5249,,0.3990,,0.4931,,0.0438,,0.1168,,0.4073,,0.5784,,,
5.00,,,,0.8837,,0.1647,,0.2534,,0.1383,,0.5022,,0.0427,,0.5715,,
0.00,,,0.7114,,0.3018,,0.0635,,0.3509,,0.3361,,0.5206,,0.3149,,,
-5.00,,,,0.6405,,0.5758,,0.8371,,0.3711,,0.3679,,0.5058,,0.4150,,
-10.00,,,0.6489,,0.2173,,0.5064,,0.8060,,0.5638,,0.7874,,0.2467,,,
-15.00,,,,0.6243,,0.1828,,0.5352,,0.5006,,0.9841,,0.0326,,,,
-20.00,,,0.5106,,0.2660,,0.6796,,0.6321,,0.8928,,0.3237,,,,,
-25.00,,,,0.2682,,0.5473,,1.0724,,0.6831,,0.3685,,,,,,
-30.00,,,,,0.0201,,0.5445,,0.9206,,0.4700,,,,,,,
-35.00,,,,,,,,0.1669,,0.0831,,,,,,,,
-40.00,,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,,
