y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00
45.00,,,,,,,,,,,,,,,,,
40.00,,,,,,,,,,,,,,,,,
35.00,,,,,,,,0.3089,,0.3832,,,,,,,
30.00,,,,,0.5002,,0.5075,,0.7043,,0.5484,,0.5017,,,,
25.00,,,,0.5078,,0.5669,,0.4973,,0.7576,,0.6009,,0.5189,,,
20.00,,,0.5273,,0.7994,,0.5593,,0.5094,,0.7074,,0.6062,,0.5007,,
15.00,,,,0.7149,,0.4452,,0.0623,,0.2362,,0.5159,,0.6762,,0.5021,
10.00,,,0.5211,,0.5452,,0.4492,,0.0171,,0.2364,,0.2069,,0.8044,,
5.00,,,,1.1062,,0.4134,,0.2534,,0.0833,,0.6263,,0.3059,,0.5794,
0.00,,,0.6084,,0.2656,,0.5180,,0.5270,,0.2522,,0.2921,,0.6806,,
-5.00,,,,0.8508,,0.5835,,1.0295,,0.8797,,0.5559,,0.4692,,0.5186,
-10.00,,,0.6530,,0.1396,,0.5425,,0.7652,,0.5263,,0.5220,,0.5293,,
-15.00,,,,0.5144,,0.4753,,0.5013,,0.5460,,0.8708,,0.0333,,,
-20.00,,,0.5008,,0.1722,,0.7452,,0.8010,,0.5081,,0.6430,,0.3470,,
-25.00,,,,0.3579,,0.6360,,0.9980,,0.7676,,0.6570,,0.1956,,,
-30.00,,,,,0.1111,,0.5140,,0.9529,,0.5049,,0.1452,,,,
-35.00,,,,,,0.0568,,0.4489,,0.2097,,,,,,,
-40.00,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,
