y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00
40.00,,,,,,,,,,,,,,,,,
35.00,,,,,,,,0.1113,,0.2537,,,,,,,
30.00,,,,,0.5003,,0.2596,,0.1624,,0.4686,,0.5191,,,,
25.00,,,,0.4757,,0.1334,,0.0580,,0.2679,,0.4465,,0.5001,,,
20.00,,,,,0.6120,,0.1537,,0.0038,,0.2604,,0.3708,,0.5001,,
15.00,,,,0.5393,,0.1682,,0.6501,,0.2108,,0.2089,,0.4511,,,
10.00,,,0.5256,,0.3614,,0.7078,,0.6409,,0.5376,,0.0969,,0.5452,,
5.00,,,,0.2324,,0.5093,,0.3162,,0.5707,,0.9047,,0.3894,,0.6526,
0.00,,,0.6594,,0.4677,,0.5060,,0.3118,,0.9955,,0.5000,,0.4630,,
-5.00,,0.5105,,0.0031,,0.5005,,1.0573,,0.7062,,0.5281,,0.0177,,,
-10.00,,,0.6310,,0.5518,,0.5834,,0.9054,,0.5339,,0.5590,,0.4243,,
-15.00,,,,0.5040,,0.3114,,0.5317,,0.5000,,0.8993,,0.3510,,,
-20.00,,,0.4671,,0.3257,,0.6857,,0.8647,,0.9255,,0.1553,,,,
-25.00,,,,0.3490,,0.2903,,0.5011,,0.5565,,0.0949,,,,,
-30.00,,,,,0.3122,,0.1334,,0.5153,,0.0463,,,,,,
-35.00,,,,,,,,,,,,,,,,,
-40.00,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,
