y_mm \ x_mm,-39.00,-38.00,-37.00,-36.00,-35.00,-34.00,-33.00,-32.00,-31.00,-30.00,-29.00,-28.00,-27.00,-26.00,-25.00,-24.00,-23.00,-22.00,-21.00,-20.00,-19.00,-18.00,-17.00,-16.00,-15.00,-14.00,-13.00,-12.00,-11.00,-10.00,-9.00,-8.00,-7.00,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00
43.00,0.0002,0.0002,0.0002,0.0002,0.0003,0.0005,0.0009,0.0010,0.0010,0.0010,0.0011,0.0015,0.0020,0.0024,0.0026,0.0030,0.0034,0.0037,0.0040,0.0046,0.0056,0.0064,0.0070,0.0074,0.0077,0.0082,0.0090,0.0095,0.0098,0.0104,0.0115,0.0123,0.0128,0.0128,0.0123,0.0122,0.0125,0.0127,0.0127,0.0128,0.0130,0.0129,0.0126,0.0120,0.0111,0.0108,0.0110,0.0104,0.0091,0.0082,0.0077,0.0070,0.0062,0.0056,0.0050,0.0044,0.0037,0.0029,0.0021,0.0017,0.0018,0.0017,0.0012,0.0010,0.0009,0.0007,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000
42.00,0.0002,0.0002,0.0002,0.0003,0.0004,0.0007,0.0012,0.0014,0.0014,0.0015,0.0017,0.0021,0.0026,0.0031,0.0034,0.0038,0.0042,0.0046,0.0051,0.0061,0.0076,0.0089,0.0099,0.0104,0.0103,0.0108,0.0119,0.0127,0.0133,0.0143,0.0157,0.0168,0.0175,0.0174,0.0165,0.0163,0.0167,0.0170,0.0173,0.0175,0.0175,0.0176,0.0178,0.0169,0.0150,0.0143,0.0146,0.0141,0.0126,0.0114,0.0105,0.0093,0.0078,0.0070,0.0069,0.0061,0.0046,0.0034,0.0025,0.0022,0.0025,0.0024,0.0018,0.0014,0.0012,0.0009,0.0005,0.0002,0.0003,0.0003,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0004,0.0004,0.0002,0.0001,0.0001,0.0001,0.0000
41.00,0.0003,0.0003,0.0003,0.0004,0.0006,0.0009,0.0014,0.0017,0.0018,0.0020,0.0021,0.0026,0.0033,0.0041,0.0049,0.0056,0.0064,0.0073,0.0083,0.0094,0.0107,0.0119,0.0131,0.0140,0.0145,0.0153,0.0164,0.0177,0.0191,0.0206,0.0221,0.0233,0.0244,0.0249,0.0249,0.0250,0.0250,0.0255,0.0265,0.0267,0.0261,0.0254,0.0247,0.0237,0.0225,0.0217,0.0213,0.0201,0.0181,0.0163,0.0148,0.0133,0.0117,0.0106,0.0097,0.0084,0.0066,0.0052,0.0044,0.0038,0.0034,0.0029,0.0023,0.0018,0.0013,0.0010,0.0009,0.0007,0.0006,0.0005,0.0004,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000
40.00,0.0004,0.0003,0.0003,0.0005,0.0008,0.0012,0.0016,0.0020,0.0023,0.0024,0.0025,0.0030,0.0040,0.0051,0.0063,0.0075,0.0085,0.0099,0.0115,0.0127,0.0137,0.0149,0.0162,0.0176,0.0188,0.0199,0.0209,0.0226,0.0249,0.0269,0.0284,0.0299,0.0313,0.0324,0.0333,0.0336,0.0334,0.0341,0.0357,0.0359,0.0346,0.0333,0.0317,0.0305,0.0299,0.0291,0.0280,0.0262,0.0236,0.0213,0.0191,0.0172,0.0157,0.0141,0.0125,0.0107,0.0085,0.0071,0.0064,0.0054,0.0043,0.0034,0.0029,0.0022,0.0015,0.0012,0.0014,0.0012,0.0008,0.0006,0.0005,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000
39.00,0.0004,0.0005,0.0006,0.0007,0.0009,0.0013,0.0017,0.0022,0.0027,0.0032,0.0037,0.0046,0.0059,0.0073,0.0089,0.0103,0.0115,0.0132,0.0155,0.0175,0.0192,0.0215,0.0243,0.0267,0.0285,0.0307,0.0332,0.0353,0.0371,0.0388,0.0403,0.0421,0.0444,0.0464,0.0482,0.0495,0.0503,0.0507,0.0509,0.0501,0.0482,0.0466,0.0451,0.0439,0.0430,0.0411,0.0383,0.0358,0.0334,0.0304,0.0269,0.0239,0.0216,0.0194,0.0175,0.0153,0.0128,0.0107,0.0091,0.0075,0.0062,0.0050,0.0038,0.0029,0.0023,0.0019,0.0018,0.0016,0.0012,0.0009,0.0006,0.0004,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
38.00,0.0004,0.0006,0.0008,0.0009,0.0010,0.0014,0.0019,0.0025,0.0032,0.0040,0.0050,0.0062,0.0077,0.0095,0.0115,0.0131,0.0144,0.0165,0.0195,0.0222,0.0248,0.0282,0.0324,0.0357,0.0382,0.0414,0.0454,0.0480,0.0494,0.0507,0.0521,0.0544,0.0574,0.0603,0.0630,0.0653,0.0671,0.0674,0.0661,0.0642,0.0618,0.0598,0.0585,0.0572,0.0560,0.0532,0.0486,0.0453,0.0431,0.0396,0.0346,0.0306,0.0274,0.0247,0.0224,0.0199,0.0171,0.0144,0.0117,0.0097,0.0081,0.0065,0.0048,0.0036,0.0030,0.0025,0.0022,0.0019,0.0016,0.0012,0.0008,0.0005,0.0004,0.0004,0.0005,0.0004,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37.00,0.0006,0.0008,0.0010,0.0012,0.0014,0.0019,0.0027,0.0034,0.0041,0.0053,0.0070,0.0091,0.0116,0.0141,0.0167,0.0189,0.0207,0.0239,0.0283,0.0323,0.0358,0.0401,0.0452,0.0497,0.0539,0.0585,0.0635,0.0664,0.0674,0.0703,0.0749,0.0788,0.0820,0.0846,0.0865,0.0885,0.0904,0.0917,0.0922,0.0907,0.0873,0.0850,0.0838,0.0819,0.0791,0.0753,0.0705,0.0655,0.0603,0.0546,0.0482,0.0430,0.0388,0.0348,0.0309,0.0271,0.0234,0.0198,0.0161,0.0130,0.0104,0.0083,0.0065,0.0051,0.0041,0.0033,0.0027,0.0023,0.0021,0.0017,0.0011,0.0008,0.0005,0.0004,0.0004,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001
36.00,0.0008,0.0010,0.0013,0.0015,0.0017,0.0024,0.0035,0.0044,0.0050,0.0066,0.0091,0.0121,0.0154,0.0187,0.0219,0.0247,0.0270,0.0312,0.0372,0.0424,0.0468,0.0520,0.0579,0.0638,0.0696,0.0755,0.0816,0.0848,0.0854,0.0898,0.0978,0.1033,0.1066,0.1088,0.1100,0.1117,0.1138,0.1160,0.1184,0.1173,0.1129,0.1102,0.1092,0.1066,0.1022,0.0974,0.0923,0.0857,0.0775,0.0695,0.0618,0.0554,0.0502,0.0449,0.0394,0.0343,0.0297,0.0251,0.0204,0.0163,0.0127,0.0101,0.0082,0.0066,0.0051,0.0040,0.0032,0.0027,0.0026,0.0022,0.0015,0.0010,0.0006,0.0004,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001
35.00,0.0008,0.0011,0.0017,0.0023,0.0029,0.0037,0.0045,0.0057,0.0070,0.0091,0.0118,0.0154,0.0197,0.0242,0.0288,0.0335,0.0382,0.0443,0.0517,0.0578,0.0627,0.0700,0.0797,0.0874,0.0933,0.1002,0.1080,0.1150,0.1212,0.1268,0.1318,0.1377,0.1444,0.1491,0.1518,0.1541,0.1561,0.1579,0.1595,0.1577,0.1527,0.1487,0.1458,0.1415,0.1359,0.1291,0.1210,0.1126,0.1038,0.0947,0.0854,0.0760,0.0666,0.0582,0.0510,0.0447,0.0395,0.0335,0.0268,0.0216,0.0179,0.0145,0.0114,0.0090,0.0072,0.0057,0.0044,0.0035,0.0033,0.0027,0.0018,0.0011,0.0008,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001
