y_mm \ x_mm,-50.00,-45.00,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00
55.00,,,,,,,,,,,,,,,,,,,,
50.00,,,,,,,,,,,,,,,,,,,,
45.00,,,,,,,,,,21.1109,,45.9769,,,,,,,,
40.00,,,,,,,7.0873,,24.7955,,73.7200,,38.8102,,7.9861,,,,,
35.00,,,,,,11.1955,,23.6291,,12.1342,,57.0666,,22.5655,,14.2165,,,,
30.00,,,,,3.0197,,39.9208,,33.8972,,61.8303,,21.6998,,20.2130,,13.1257,,,
25.00,,,,19.8794,,50.8855,,52.8474,,88.0173,,66.0474,,70.2475,,7.8726,,,,
20.00,,,,,56.6132,,42.2754,,45.0565,,92.7492,,79.7360,,59.0698,,37.1052,,,
15.00,,,,34.5298,,85.6932,,50.8470,,66.4345,,57.4953,,10.5358,,37.2466,,15.7455,,
10.00,,,15.6131,,36.2010,,36.5599,,25.9026,,93.1391,,57.8952,,19.0120,,25.2586,,,
5.00,,14.0958,,18.1927,,10.9235,,20.6956,,47.4945,,55.3273,,51.3000,,26.6855,,44.4670,,
0.00,,,89.5744,,34.8486,,16.8660,,11.4965,,68.8029,,46.0197,,5.9243,,27.2308,,6.6082,
-5.00,,31.2722,,20.9556,,3.9160,,39.3943,,45.4396,,12.4710,,20.8073,,48.4077,,87.3906,,
-10.00,,,21.4604,,21.0494,,13.8101,,10.8775,,1.2457,,54.7233,,14.7962,,70.7660,,34.2206,
-15.00,,,,7.9739,,27.2806,,28.7007,,34.8565,,62.9088,,81.4662,,44.3101,,47.5351,,
-20.00,,,45.9316,,14.1695,,56.2012,,36.5479,,42.4272,,70.8256,,17.1093,,40.5026,,41.5446,
-25.00,,,,44.8215,,94.5942,,32.2794,,51.3125,,19.6865,,2.5075,,54.9332,,43.6592,,
-30.00,,,,,62.0217,,39.6761,,26.1785,,10.3994,,15.4855,,64.5833,,53.8096,,,
-35.00,,,,,,27.2451,,14.5031,,59.0363,,18.8321,,0.5754,,6.9043,,,,
-40.00,,,,,,,13.9322,,16.3779,,23.2437,,18.1246,,3.9614,,,,,
-45.00,,,,,,,,,,,,,,,,,,,,
-50.00,,,,,,,,,,,,,,,,,,,,
