y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00
45.00,,,,,,,,,,,,,,,,,,
40.00,,,,,,,,,,,,,,,,,,
35.00,,,,,,0.3154,,0.3581,,0.3693,,0.4744,,,,,,
30.00,,,,,0.1245,,0.1296,,0.8756,,0.2434,,0.1335,,,,,
25.00,,,,0.1413,,0.6273,,0.7698,,0.5982,,0.4078,,0.2368,,,,
20.00,,,0.1146,,0.2813,,0.2716,,0.6003,,0.3210,,0.7621,,0.1468,,,
15.00,,,,0.4432,,0.3547,,0.1322,,0.3459,,0.1812,,0.9450,,0.2445,,
10.00,,,0.1596,,0.3990,,0.4931,,0.0438,,0.1168,,0.4073,,0.2907,,,
5.00,,,,0.7286,,0.1647,,0.2534,,0.1383,,0.0471,,0.0427,,0.5715,,
0.00,,,0.5060,,0.3018,,0.0635,,0.3509,,0.3361,,0.1449,,0.3149,,,
-5.00,,,,0.4002,,0.2856,,0.8371,,0.3711,,0.3679,,0.5058,,0.4150,,
-10.00,,,0.4136,,0.2173,,0.0802,,0.3868,,0.2605,,0.3463,,0.2467,,,
-15.00,,,,0.3738,,0.1828,,0.5352,,0.0251,,0.6845,,0.0326,,,,
-20.00,,,0.1033,,0.2660,,0.6796,,0.3867,,0.7397,,0.3237,,,,,
-25.00,,,,0.2682,,0.5473,,0.9487,,0.4654,,0.3685,,,,,,
-30.00,,,,,0.0201,,0.2155,,0.9206,,0.4700,,,,,,,
-35.00,,,,,,,,0.1669,,0.0831,,,,,,,,
-40.00,,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,,
