y_mm \ x_mm,-40.00,-39.00,-38.00,-37.00,-36.00,-35.00,-34.00,-33.00,-32.00,-31.00,-30.00,-29.00,-28.00,-27.00,-26.00,-25.00,-24.00,-23.00,-22.00,-21.00,-20.00,-19.00,-18.00,-17.00,-16.00,-15.00,-14.00,-13.00,-12.00,-11.00,-10.00,-9.00,-8.00,-7.00,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00
45.00,0.0000,0.0001,0.0002,0.0002,0.0004,0.0006,0.0006,0.0005,0.0005,0.0007,0.0009,0.0011,0.0015,0.0018,0.0021,0.0021,0.0024,0.0031,0.0040,0.0049,0.0060,0.0072,0.0079,0.0082,0.0088,0.0098,0.0106,0.0113,0.0120,0.0129,0.0139,0.0149,0.0152,0.0149,0.0150,0.0159,0.0160,0.0154,0.0149,0.0143,0.0140,0.0140,0.0136,0.0128,0.0119,0.0108,0.0100,0.0095,0.0088,0.0080,0.0073,0.0069,0.0063,0.0057,0.0053,0.0051,0.0046,0.0037,0.0031,0.0028,0.0024,0.0021,0.0017,0.0013,0.0010,0.0007,0.0007,0.0010,0.0010,0.0009,0.0007,0.0005,0.0004,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000
44.00,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,0.0006,0.0007,0.0009,0.0011,0.0013,0.0014,0.0016,0.0021,0.0023,0.0024,0.0030,0.0040,0.0052,0.0066,0.0081,0.0097,0.0107,0.0111,0.0117,0.0125,0.0134,0.0146,0.0155,0.0161,0.0173,0.0190,0.0198,0.0197,0.0199,0.0207,0.0205,0.0195,0.0186,0.0180,0.0177,0.0176,0.0171,0.0163,0.0153,0.0141,0.0130,0.0118,0.0111,0.0107,0.0101,0.0094,0.0085,0.0076,0.0070,0.0067,0.0060,0.0049,0.0042,0.0039,0.0034,0.0027,0.0022,0.0018,0.0014,0.0011,0.0011,0.0014,0.0015,0.0011,0.0008,0.0005,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
43.00,0.0001,0.0002,0.0003,0.0004,0.0004,0.0006,0.0008,0.0010,0.0012,0.0013,0.0016,0.0020,0.0025,0.0030,0.0034,0.0037,0.0045,0.0058,0.0071,0.0084,0.0098,0.0112,0.0130,0.0149,0.0164,0.0176,0.0189,0.0202,0.0213,0.0222,0.0235,0.0253,0.0267,0.0278,0.0284,0.0287,0.0283,0.0272,0.0266,0.0267,0.0264,0.0258,0.0246,0.0228,0.0216,0.0210,0.0202,0.0193,0.0179,0.0161,0.0145,0.0132,0.0120,0.0111,0.0102,0.0092,0.0081,0.0069,0.0061,0.0058,0.0050,0.0037,0.0029,0.0024,0.0020,0.0017,0.0016,0.0018,0.0017,0.0013,0.0009,0.0007,0.0005,0.0003,0.0003,0.0004,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
42.00,0.0001,0.0003,0.0003,0.0004,0.0005,0.0008,0.0010,0.0013,0.0015,0.0015,0.0019,0.0027,0.0033,0.0039,0.0045,0.0050,0.0060,0.0076,0.0089,0.0101,0.0114,0.0128,0.0152,0.0186,0.0211,0.0227,0.0243,0.0258,0.0271,0.0284,0.0299,0.0316,0.0336,0.0359,0.0370,0.0368,0.0361,0.0349,0.0347,0.0354,0.0351,0.0341,0.0321,0.0293,0.0279,0.0279,0.0275,0.0268,0.0247,0.0214,0.0188,0.0170,0.0155,0.0146,0.0133,0.0118,0.0103,0.0089,0.0080,0.0077,0.0066,0.0048,0.0036,0.0030,0.0025,0.0023,0.0021,0.0021,0.0019,0.0014,0.0011,0.0009,0.0007,0.0005,0.0004,0.0005,0.0004,0.0002,0.0001,0.0002,0.0002,0.0002,0.0001
41.00,0.0001,0.0003,0.0004,0.0004,0.0006,0.0008,0.0011,0.0015,0.0019,0.0024,0.0029,0.0034,0.0042,0.0051,0.0062,0.0075,0.0090,0.0107,0.0125,0.0144,0.0167,0.0194,0.0222,0.0254,0.0283,0.0312,0.0338,0.0363,0.0386,0.0405,0.0428,0.0456,0.0476,0.0490,0.0496,0.0494,0.0488,0.0478,0.0481,0.0498,0.0489,0.0456,0.0434,0.0423,0.0406,0.0381,0.0366,0.0359,0.0338,0.0304,0.0273,0.0245,0.0225,0.0214,0.0195,0.0170,0.0149,0.0131,0.0116,0.0104,0.0088,0.0068,0.0055,0.0048,0.0040,0.0032,0.0027,0.0025,0.0022,0.0017,0.0013,0.0011,0.0009,0.0008,0.0007,0.0005,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001
40.00,0.0002,0.0003,0.0004,0.0004,0.0006,0.0009,0.0012,0.0017,0.0024,0.0033,0.0038,0.0041,0.0049,0.0062,0.0079,0.0100,0.0120,0.0138,0.0161,0.0187,0.0220,0.0259,0.0293,0.0321,0.0355,0.0396,0.0434,0.0470,0.0500,0.0526,0.0558,0.0595,0.0615,0.0621,0.0622,0.0620,0.0615,0.0607,0.0616,0.0642,0.0627,0.0570,0.0546,0.0553,0.0532,0.0484,0.0457,0.0450,0.0429,0.0394,0.0358,0.0321,0.0295,0.0282,0.0257,0.0222,0.0194,0.0174,0.0153,0.0132,0.0110,0.0089,0.0074,0.0066,0.0054,0.0041,0.0033,0.0030,0.0025,0.0020,0.0016,0.0012,0.0011,0.0012,0.0010,0.0005,0.0003,0.0003,0.0002,0.0001,0.0001,0.0000,0.0000
39.00,0.0003,0.0005,0.0006,0.0007,0.0009,0.0012,0.0015,0.0019,0.0028,0.0041,0.0050,0.0057,0.0071,0.0093,0.0113,0.0131,0.0154,0.0182,0.0214,0.0249,0.0288,0.0331,0.0372,0.0413,0.0462,0.0520,0.0572,0.0617,0.0657,0.0689,0.0728,0.0771,0.0808,0.0839,0.0855,0.0858,0.0859,0.0857,0.0855,0.0853,0.0832,0.0792,0.0762,0.0744,0.0715,0.0676,0.0641,0.0609,0.0576,0.0542,0.0502,0.0457,0.0413,0.0370,0.0331,0.0297,0.0268,0.0244,0.0214,0.0180,0.0149,0.0122,0.0102,0.0091,0.0078,0.0064,0.0054,0.0047,0.0038,0.0028,0.0021,0.0016,0.0013,0.0012,0.0009,0.0006,0.0003,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000
38.00,0.0004,0.0007,0.0009,0.0009,0.0011,0.0015,0.0019,0.0022,0.0032,0.0049,0.0063,0.0073,0.0093,0.0124,0.0146,0.0161,0.0188,0.0226,0.0267,0.0312,0.0357,0.0402,0.0452,0.0505,0.0570,0.0644,0.0709,0.0765,0.0813,0.0852,0.0898,0.0947,0.1000,0.1057,0.1089,0.1096,0.1102,0.1108,0.1095,0.1064,0.1037,0.1013,0.0978,0.0934,0.0897,0.0868,0.0825,0.0769,0.0724,0.0689,0.0646,0.0594,0.0531,0.0457,0.0405,0.0372,0.0342,0.0314,0.0276,0.0229,0.0188,0.0154,0.0130,0.0116,0.0102,0.0088,0.0075,0.0064,0.0051,0.0036,0.0026,0.0019,0.0015,0.0012,0.0009,0.0006,0.0004,0.0004,0.0003,0.0001,0.0000,0.0001,0.0001
37.00,0.0005,0.0007,0.0009,0.0012,0.0015,0.0019,0.0025,0.0033,0.0044,0.0058,0.0077,0.0100,0.0126,0.0153,0.0181,0.0207,0.0247,0.0301,0.0357,0.0417,0.0479,0.0543,0.0607,0.0672,0.0754,0.0853,0.0932,0.0990,0.1062,0.1148,0.1218,0.1273,0.1324,0.1372,0.1409,0.1435,0.1453,0.1462,0.1449,0.1411,0.1385,0.1368,0.1325,0.1254,0.1198,0.1157,0.1108,0.1054,0.0994,0.0929,0.0864,0.0799,0.0721,0.0631,0.0562,0.0515,0.0470,0.0427,0.0374,0.0314,0.0266,0.0229,0.0195,0.0164,0.0138,0.0118,0.0099,0.0081,0.0065,0.0051,0.0040,0.0032,0.0026,0.0021,0.0017,0.0014,0.0011,0.0008,0.0006,0.0004,0.0003,0.0002,0.0001
